"","Author","n.active","n.sham","male.ratio","age.total","frequency","pulse.width","rms.value","charge.per.session","es","se","stim.type","intervention","sham.strategy","index","ESSym"
"1","Decouck et al. (2016) #1",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,-0.282638436547478,0.202070615780922,"intermittent","concha","concha","LF","Negative Effect Size"
"2","Decouck et al. (2016) #2",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,0.0945554042267927,0.205709629183611,"intermittent","concha","concha","LF","Positive Effect Size"
"3","Ganchrva et al. (2017)",9,9,0.8,51.1,25,250,7.90569415042095e-05,0.00525,0.690007816814754,0.441210042992227,"continuous","concha","ear","LF","Positive Effect Size"
"4","Gauthey et al. (2020) #1",28,28,1,27,5,200,3.79473319220205e-05,0.00072,0.432550205741172,0.211036490170823,"continuous","concha","ear","LF","Positive Effect Size"
"5","Gauthey et al. (2020) #2",28,28,1,27,25,200,0.000388908729652601,0.0165,0.654122741701904,0.216796804797221,"continuous","concha","ear","LF","Positive Effect Size"
"6","Geng et al. (2022)",14,14,0.5714,23.42,20,250,0.000174284250579334,0.02025,0.040172730994859,0.29677988833425,"continuous","tragus","ear","LF","Positive Effect Size"
"7","Shen et al. (2021) #1",42,42,0.476,21.67,500,500,0.000223606797749979,0.0225,0.049700774944928,0.17199967002794,"intermittent","concha","concha","LF","Positive Effect Size"
"8","Shen et al. (2021) #2",42,42,0.476,21.67,25,500,0.000223606797749979,0.0225,0.0142038095925997,0.171478486467594,"continuous","concha","concha","LF","Positive Effect Size"
"9","Zhu et al. (2022)",21,21,0.619,28.2,25,500,7.07106781186548e-05,0.009,-0.480972266870374,0.250301452609716,"intermittent","concha","other","LF","Negative Effect Size"
"10","Decouck et al. (2016) #1",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,-0.0629216212336809,0.20036824698349,"intermittent","concha","concha","HF","Negative Effect Size"
"11","Decouck et al. (2016) #2",30,30,0.5,37,25,250,3.91311896062463e-05,0.0013125,0.0743972801294683,0.201459438706966,"intermittent","concha","concha","HF","Positive Effect Size"
"12","Ganchrva et al. (2017)",9,9,0.8,51.1,25,250,7.90569415042095e-05,0.00525,-0.920114096613947,0.428420150539054,"continuous","concha","ear","HF","Negative Effect Size"
